year,sector,sub_sector,food_type,cause_group,cause_name,tons_surplus_due_to_cause,us_dollars_surplus_due_to_cause,tons_inedible_parts,tons_not_fit_for_human_consumption
2024,Foodservice,Caterers,Produce,Mistakes & Malfunctions,Equipment Issues,3.009257359,10890.96021,0.661746021,3.009257359
2024,Foodservice,Caterers,Produce,Mistakes & Malfunctions,Handling Errors,52.28957094,189243.9125,11.4986561,52.28957094
2024,Foodservice,Caterers,Produce,Other,Other,20.85623912,75481.90244,4.586358559,20.85623912
2024,Foodservice,Caterers,Produce,Spoiled,Spoiled,717.8717505,2598087.082,157.8624616,717.8717505
2024,Foodservice,Caterers,Produce,Trimmings & Byproducts,Trimmings & Byproducts,1519.76435,5500258.4,1519.76435,1519.76435
2024,Foodservice,Caterers,Ready-To-Drink Beverages,Date Label Concerns,Date Label Concerns,1508.547142,1584475.533,0,0
2024,Foodservice,Caterers,Ready-To-Drink Beverages,Mistakes & Malfunctions,Cooking Issues,0,0,0,0
2024,Foodservice,Caterers,Ready-To-Drink Beverages,Mistakes & Malfunctions,Equipment Issues,0,0,0,0
2024,Foodservice,Caterers,Ready-To-Drink Beverages,Mistakes & Malfunctions,Handling Errors,20.28658608,21307.65316,0,20.28658608
2024,Foodservice,Caterers,Ready-To-Drink Beverages,Other,Other,102.3869061,107540.2572,0,102.3869061
2024,Foodservice,Caterers,Ready-To-Drink Beverages,Spoiled,Spoiled,313.7996108,329593.8135,0,313.7996108
2024,Foodservice,Caterers,Ready-To-Drink Beverages,Trimmings & Byproducts,Trimmings & Byproducts,1.869013689,1963.085128,1.869013689,1.869013689
2024,Foodservice,Colleges & Universities,Breads & Bakery,Date Label Concerns,Date Label Concerns,622.1896794,2907705.281,0,0
2024,Foodservice,Colleges & Universities,Breads & Bakery,Mistakes & Malfunctions,Cooking Issues,329.5650277,1540170.149,0,329.5650277
2024,Foodservice,Colleges & Universities,Breads & Bakery,Mistakes & Malfunctions,Equipment Issues,32.18269623,150400.7522,0,32.18269623
2024,Foodservice,Colleges & Universities,Breads & Bakery,Mistakes & Malfunctions,Handling Errors,123.9184191,579113.1766,0,123.9184191
2024,Foodservice,Colleges & Universities,Breads & Bakery,Other,Other,28.08124811,131233.2816,0,28.08124811
2024,Foodservice,Colleges & Universities,Breads & Bakery,Spoiled,Spoiled,1003.843098,4691302.306,0,1003.843098
2024,Foodservice,Colleges & Universities,Breads & Bakery,Trimmings & Byproducts,Trimmings & Byproducts,594.5185761,2778388.746,594.5185761,594.5185761
2024,Foodservice,Colleges & Universities,Dairy & Eggs,Date Label Concerns,Date Label Concerns,441.4233619,1766628.684,3.903194,0
2024,Foodservice,Colleges & Universities,Dairy & Eggs,Mistakes & Malfunctions,Cooking Issues,170.1144728,680818.31,1.504201741,170.1144728
2024,Foodservice,Colleges & Universities,Dairy & Eggs,Mistakes & Malfunctions,Equipment Issues,181.7577545,727416.105,1.607155031,181.7577545
2024,Foodservice,Colleges & Universities,Dairy & Eggs,Mistakes & Malfunctions,Handling Errors,265.6710895,1063247.231,2.349141192,265.6710895
2024,Foodservice,Colleges & Universities,Dairy & Eggs,Other,Other,154.7126582,619178.4198,1.368014408,154.7126582
2024,Foodservice,Colleges & Universities,Dairy & Eggs,Spoiled,Spoiled,2391.20322,9569879.083,21.14371569,2391.20322
2024,Foodservice,Colleges & Universities,Dairy & Eggs,Trimmings & Byproducts,Trimmings & Byproducts,480.4794224,1922935.673,480.4794224,480.4794224
2024,Foodservice,Colleges & Universities,Dry Goods,Date Label Concerns,Date Label Concerns,2278.817139,8314020.298,0,0
2024,Foodservice,Colleges & Universities,Dry Goods,Mistakes & Malfunctions,Cooking Issues,946.8868817,3454615.388,0,946.8868817
2024,Foodservice,Colleges & Universities,Dry Goods,Mistakes & Malfunctions,Equipment Issues,305.1778688,1113408.774,0,305.1778688
2024,Foodservice,Colleges & Universities,Dry Goods,Mistakes & Malfunctions,Handling Errors,680.0696105,2481161.147,0,680.0696105
2024,Foodservice,Colleges & Universities,Dry Goods,Other,Other,243.4595303,888236.0249,0,243.4595303
2024,Foodservice,Colleges & Universities,Dry Goods,Spoiled,Spoiled,3441.403774,12555593.14,0,3441.403774
2024,Foodservice,Colleges & Universities,Dry Goods,Trimmings & Byproducts,Trimmings & Byproducts,1088.021539,3969530.073,1088.021539,1088.021539
