year,sector,sub_sector,sub_sector_category,food_type,tons_surplus,tons_supply,us_dollars_surplus,tons_waste,tons_uneaten,tons_not_fit_for_human_consumption,tons_inedible_parts,tons_donations,tons_industrial_uses,tons_animal_feed,tons_anaerobic_digestion,tons_composting,tons_not_harvested,tons_incineration,tons_land_application,tons_landfill,tons_sewer,tons_dumping,surplus_upstream_100_year_mtco2e_footprint,surplus_downstream_100_year_mtco2e_footprint,surplus_total_100_year_mtco2e_footprint,surplus_upstream_100_year_mtch4_footprint,surplus_downstream_100_year_mtch4_footprint,surplus_total_100_year_mtch4_footprint,gallons_water_footprint,meals_wasted
2024,Foodservice,Full Service Restaurants,All Other,Ready-To-Drink Beverages,1886.114765,99628.38471,1905628.232,1847.05435,1851.654883,424.6587394,1.810670175,34.45988183,0,4.614964966,0.317493156,216.6937654,0,166.3834282,0,1454.813671,8.845992168,0,9324.983847,1103.046142,10428.02999,49.86786608,53.80938899,103.6772551,50491911.49,3086091.472
2024,Foodservice,Full Service Restaurants,Asian/Noodle,Breads & Bakery,236.0098376,12466.51547,3767201.419,229.9800389,230.8215595,164.8835528,31.39874879,5.188278067,0,0.843059502,0.033855667,39.95204431,0,17.31347749,0,171.0407161,1.63994527,0,423.4412586,176.4775085,599.918767,1.189941581,8.855259984,10.04520157,4523727.212,384702.5992
2024,Foodservice,Full Service Restaurants,Asian/Noodle,Dairy & Eggs,985.2073268,52040.63739,2626141.228,960.0363343,963.549206,895.1790812,23.26127824,21.65812077,0,3.519295664,0.141328222,166.7771444,0,72.27395711,0,713.9980624,6.845842159,0,4197.716968,281.863854,4479.580822,54.29748432,13.68220617,67.9796905,279487378.2,1605915.343
2024,Foodservice,Full Service Restaurants,Asian/Noodle,Dry Goods,10489.96294,554100.9926,34533644.54,10221.95562,10259.35881,4733.910476,1309.462074,230.6041359,0,37.47158603,1.504787644,1775.754217,0,769.5346057,0,7602.271128,72.89088154,0,29003.41123,5288.441885,34291.85312,96.23646983,264.2044007,360.4408705,1287725015,17098931.34
2024,Foodservice,Full Service Restaurants,Asian/Noodle,Fresh Meat & Seafood,7976.294612,421323.9634,82493760.21,7772.508824,7800.949233,5796.851872,2947.323973,175.3453789,0,28.49241808,1.144201333,1350.237257,0,585.1340719,0,5780.568966,55.4243279,0,116647.5592,4017.662001,120665.2212,1390.871176,199.7353066,1590.606483,9304826094,13001582.06
2024,Foodservice,Full Service Restaurants,Asian/Noodle,Frozen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Foodservice,Full Service Restaurants,Asian/Noodle,Prepared Foods,557043.5778,0,8553411849,551760.0009,552523.8503,0,21776.47711,4519.72748,0,764.0978109,5.464248204,69110.38103,0,42410.6872,0,414024.4611,26209.00734,0,2495149.344,300047.7235,2795197.068,21509.20082,13719.82306,35229.02388,2.63491E+11,920873083.9
2024,Foodservice,Full Service Restaurants,Asian/Noodle,Produce,7881.503377,416316.8992,30560844.49,7680.139404,7708.241823,6552.130202,4869.329045,173.2615535,0,28.15381078,1.130603508,1334.190877,0,578.1802688,0,5711.871996,54.76565858,0,17327.67735,1426.970824,18754.64817,39.73885993,65.65442982,105.3932897,353026635.7,12847069.71
2024,Foodservice,Full Service Restaurants,Asian/Noodle,Ready-To-Drink Beverages,3691.443113,194989.468,6702810.382,3597.130693,3610.292964,831.1284168,3.543785388,81.15014838,0,13.18634097,0.52953838,624.8921668,0,270.801073,0,2675.257439,25.650476,0,18200.57643,2028.818227,20229.39465,97.33085055,100.9578952,198.2887457,98635879.17,6017154.94
2024,Foodservice,Full Service Restaurants,Family Style,Breads & Bakery,3504.619362,185121.0608,17887511.82,3442.178614,3448.367164,2448.432225,466.2545599,56.25219822,0,6.217734956,0.642062501,288.6977402,0,237.299057,0,2903.834269,11.70548439,0,6315.754261,2990.209512,9305.963772,17.74833807,145.6205429,163.368881,67376511.58,5747278.606
